date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:54:57	2942/2942	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202022%2020:07:30%20GMT	https://ifingerstudio.com/spondtech/wp-content/themes/spondtech/assets/js/nice-select.js?ver=2.0.3	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/themes/spondtech/assets/js/nice-selectb95e.js	(from https://ifingerstudio.com/spondtech/)
23:54:58	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Jun%202017%2005:11:48%20GMT	https://ifingerstudio.com/spondtech/wp-content/themes/spondtech/assets/js/jquery.magnific-popup.min.js?ver=1.1.0	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/themes/spondtech/assets/js/jquery.magnific-popup.minf488.js	(from https://ifingerstudio.com/spondtech/)
23:54:58	17177/17177	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Feb%202023%2022:34:38%20GMT	https://ifingerstudio.com/spondtech/wp-content/themes/spondtech/assets/js/spondtech-main.js?ver=1.0.0	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/themes/spondtech/assets/js/spondtech-main8a54.js	(from https://ifingerstudio.com/spondtech/)
23:54:59	5390/5390	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2018%20Nov%202022%2020:23:22%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/spondtech-master/assets/js/jquery.countdown.min.js?ver=6.2	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/spondtech-master/assets/js/jquery.countdown.minae48.js	(from https://ifingerstudio.com/spondtech/)
23:54:59	4689/4689	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2022%20Feb%202023%2010:46:54%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/spondtech-master/assets/js/spondtech-master.js?ver=6.2	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/spondtech-master/assets/js/spondtech-masterae48.js	(from https://ifingerstudio.com/spondtech/)
23:54:59	834/834	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2018%20Nov%202022%2020:23:22%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/spondtech-master/assets/js/spondtech-elementor-editor.js?ver=1	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/spondtech-master/assets/js/spondtech-elementor-editor68b3.js	(from https://ifingerstudio.com/spondtech/)
23:54:59	4958/4958	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:33:48%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.12.1	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/js/webpack.runtime.minfb6f.js	(from https://ifingerstudio.com/spondtech/)
23:55:00	42288/42288	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:33:48%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.12.1	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/js/frontend-modules.minfb6f.js	(from https://ifingerstudio.com/spondtech/)
23:55:00	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202017%2021:35:32%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://ifingerstudio.com/spondtech/)
23:55:00	21438/21438	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Mar%202023%2018:59:44%20GMT	https://ifingerstudio.com/spondtech/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-includes/js/jquery/ui/core.min3f14.js	(from https://ifingerstudio.com/spondtech/)
23:55:01	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2003%20Apr%202023%2006:55:02%20GMT	http://fonts.googleapis.com/robots.txt		(from https://ifingerstudio.com/spondtech/)
23:55:01	40591/40591	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:33:48%20GMT	https://ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.12.1	C:/Benim%20Web%20Sitem/Ecotech/huh/ifingerstudio.com/spondtech/wp-content/plugins/elementor/assets/js/frontend.minfb6f.js	(from https://ifingerstudio.com/spondtech/)
23:55:02	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2006:55:02%20GMT	https://fonts.gstatic.com/robots.txt		(from https://ifingerstudio.com/spondtech/)
23:55:02	42952/42952	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2021%20Apr%202022%2016:54:15%20GMT	http://fonts.gstatic.com/s/dmsans/v11/rP2Ap2ywxg089UriCZawpBqWCXwW.ttf	C:/Benim%20Web%20Sitem/Ecotech/huh/fonts.gstatic.com/s/dmsans/v11/rP2Ap2ywxg089UriCZawpBqWCXwW.ttf	(from http://fonts.googleapis.com/css?family=DM+Sans%3A300%2C400%2C500%2C600%2C700%2C700i%7CSpace+Grotesk%3A300%2C400%2C500%2C600%2C700&ver=1.0.0)
23:55:05	41288/41288	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2021%20Apr%202022%2016:54:14%20GMT	http://fonts.gstatic.com/s/dmsans/v11/rP2Hp2ywxg089UriCZOIGA.ttf	C:/Benim%20Web%20Sitem/Ecotech/huh/fonts.gstatic.com/s/dmsans/v11/rP2Hp2ywxg089UriCZOIGA.ttf	(from http://fonts.googleapis.com/css?family=DM+Sans%3A300%2C400%2C500%2C600%2C700%2C700i%7CSpace+Grotesk%3A300%2C400%2C500%2C600%2C700&ver=1.0.0)
23:55:06	41716/41716	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2021%20Apr%202022%2016:54:13%20GMT	http://fonts.gstatic.com/s/dmsans/v11/rP2Cp2ywxg089UriAWCrCBimDg.ttf	C:/Benim%20Web%20Sitem/Ecotech/huh/fonts.gstatic.com/s/dmsans/v11/rP2Cp2ywxg089UriAWCrCBimDg.ttf	(from http://fonts.googleapis.com/css?family=DM+Sans%3A300%2C400%2C500%2C600%2C700%2C700i%7CSpace+Grotesk%3A300%2C400%2C500%2C600%2C700&ver=1.0.0)
